SKU,Title,Description,Price,Stock,Category,Condition,Location,Tags,Is Active
WINE001,Cabernet Sauvignon 2020,Full-bodied red wine with notes of black currant and oak,25.99,120,Wine,New,Nairobi,"red wine,cabernet,dry",Yes
WINE002,Chardonnay Reserve 2021,Crisp white wine with hints of green apple and citrus,19.50,85,Wine,New,Mombasa,"white wine,chardonnay,oaked",Yes
SPRT001,Johnnie Walker Black Label,Blended Scotch whisky with rich smoky character,45.75,60,Spirit,New,Nairobi,"whisky,scotch,blended",Yes
WINE003,Prosecco DOC Brut,Italian sparkling wine with fine bubbles and floral notes,17.25,150,Wine,New,Nakuru,"sparkling wine,prosecco,brut",Yes
SPRT002,Grey Goose Vodka,Premium French vodka distilled from winter wheat,32.99,45,Spirit,New,Nairobi,"vodka,french,premium",Yes
WINE004,Pinot Noir 2022,Light-bodied red with cherry and raspberry aromas,28.50,75,Wine,New,Naivasha,"red wine,pinot noir,light",Yes
SPRT003,Hendrick's Gin,Scottish gin infused with cucumber and rose petals,38.25,55,Spirit,New,Mombasa,"gin,scottish,botanical",Yes
WINE005,Sauvignon Blanc 2023,Zesty white wine with tropical fruit flavors,16.99,200,Wine,New,Kisumu,"white wine,sauvignon blanc,crisp",Yes
SPRT004,Bacardi Gold Rum,Aged rum with caramel and vanilla notes,22.50,90,Spirit,New,Nairobi,"rum,aged,gold",Yes
WINE006,Porto Vintage 2018,Rich fortified wine with dark fruit and spice,65.00,25,Wine,New,Nairobi,"fortified wine,port,dessert",Yes
SPRT005,Patrón Silver Tequila,Premium 100% agave tequila with citrus notes,49.99,40,Spirit,New,Nakuru,"tequila,silver,premium",Yes
WINE007,Rosé d'Anjou 2022,French rosé with strawberry and floral notes,15.75,110,Wine,New,Nairobi,"rose wine,french,semi-sweet",Yes
SPRT006,Jameson Irish Whiskey,Triple-distilled smooth Irish whiskey,26.50,100,Spirit,Used (Unopened),Kisumu,"whiskey,irish,smooth",Yes
WINE008,Merlot 2021,Medium-bodied red with plum and chocolate notes,21.99,65,Wine,New,Nairobi,"red wine,merlot,medium-bodied",Yes
SPRT007,Campari Bitter,Italian bitter apéritif with herbal flavors,23.75,80,Spirit,New,Mombasa,"aperitif,bitter,herbal",Yes
